Station Name,lat,lon
dionisio-point,"49° 01' 00"" N","123° 34' 00"" W"
drainey-inlet,"51° 28' 60"" N","127° 32' 60"" W"
drury-entrance,"50° 53' 60"" N","126° 54' 00"" W"
duncan-bay,"50° 04' 60"" N","125° 17' 60"" W"
east-narrows-dolphin,"53° 08' 60"" N","132° 15' 00"" W"
ecstall-river,"54° 00' 00"" N","129° 46' 00"" W"
egg-island,"51° 15' 00"" N","127° 49' 60"" W"
egmont,"49° 45' 00"" N","123° 55' 60"" W"
esquimalt,"48° 25' 60"" N","123° 25' 60"" W"
esquimalt-lagoon,"48° 25' 60"" N","123° 28' 00"" W"
false-bay,"49° 30' 00"" N","124° 20' 60"" W"
false-creek,"49° 16' 00"" N","123° 07' 60"" W"
finlayson-arm,"48° 30' 00"" N","123° 32' 60"" W"
finnerty-cove,"48° 28' 00"" N","123° 17' 60"" W"
florence-cove,"50° 17' 60"" N","125° 10' 00"" W"
franklin-river,"49° 06' 00"" N","124° 49' 00"" W"
frederick-sound,"51° 02' 60"" N","126° 43' 60"" W"
fulford-harbour,"48° 46' 00"" N","123° 27' 00"" W"
gabriola-pass,"49° 07' 60"" N","123° 43' 00"" W"
ganges-harbour,"48° 51' 00"" N","123° 30' 00"" W"
georgina-point,"48° 52' 00"" N","123° 16' 60"" W"
gibsons,"49° 23' 60"" N","123° 30' 00"" W"
glendale-cove,"50° 40' 00"" N","125° 43' 60"" W"
godfrey-point,"54° 01' 00"" N","130° 13' 60"" W"
gold-river,"49° 40' 60"" N","126° 07' 60"" W"
goose-island,"52° 00' 00"" N","128° 25' 00"" W"
gordon-islands,"52° 06' 00"" N","131° 13' 00"" W"
gorge-victoria,"48° 27' 00"" N","123° 25' 00"" W"
gorge-harbour,"50° 06' 00"" N","124° 58' 60"" W"
gosling-island,"51° 53' 60"" N","128° 25' 60"" W"
gowlland-harbour,"50° 04' 00"" N","125° 13' 60"" W"
granby-bay,"55° 25' 00"" N","129° 48' 00"" W"
griffin-passage,"52° 45' 00"" N","128° 22' 00"" W"
halfmoon-bay,"49° 31' 00"" N","123° 55' 00"" W"
harmac,"49° 07' 60"" N","123° 50' 60"" W"
hartley-bay,"53° 25' 60"" N","129° 15' 00"" W"
haysport,"54° 10' 60"" N","130° 00' 00"" W"
higgins-island,"52° 28' 60"" N","128° 45' 00"" W"
hope-bay,"48° 47' 60"" N","123° 16' 00"" W"
hornby-island,"49° 30' 00"" N","124° 40' 60"" W"
hudson-bay-passage,"54° 27' 00"" N","130° 50' 60"" W"
humpback-bay,"54° 04' 60"" N","130° 24' 00"" W"
hunger-harbour,"52° 45' 00"" N","132° 01' 60"" W"
hunt-inlet,"54° 04' 00"" N","130° 26' 60"" W"
hunt-islets,"50° 28' 00"" N","128° 01' 60"" W"
irvines-landing,"49° 37' 60"" N","124° 02' 60"" W"
jennis-bay,"50° 55' 00"" N","127° 01' 00"" W"
johnson-point,"51° 07' 00"" N","127° 31' 60"" W"
juskatla,"53° 37' 00"" N","132° 18' 00"" W"
kelsey-bay,"50° 23' 60"" N","125° 58' 00"" W"
kemano-bay,"53° 31' 00"" N","128° 07' 00"" W"
kennedy-cove,"49° 08' 60"" N","125° 40' 00"" W"
kenneth-passage,"50° 57' 00"" N","126° 47' 60"" W"
khyex-point,"54° 13' 60"" N","129° 48' 00"" W"
kincolith,"55° 00' 00"" N","129° 58' 60"" W"
kitimat,"53° 58' 60"" N","128° 41' 60"" W"
kitkatla-islands,"53° 47' 60"" N","130° 20' 60"" W"
klaxton-creek,"54° 04' 60"" N","130° 04' 60"" W"
klemtu,"52° 36' 00"" N","128° 31' 00"" W"
knox-bay,"50° 23' 60"" N","125° 35' 60"" W"
kumeon-bay,"54° 43' 00"" N","130° 13' 60"" W"
kwinitsa-creek,"54° 13' 00"" N","129° 34' 60"" W"
kwokwesta-creek,"50° 31' 00"" N","127° 34' 00"" W"
kyuquot,"50° 01' 60"" N","127° 22' 00"" W"
ladysmith,"48° 58' 60"" N","123° 46' 60"" W"
lagoon-cove,"50° 36' 00"" N","126° 19' 00"" W"
langara-island,"54° 15' 22"" N","133° 03' 15"" W"
larsen-island,"53° 37' 21"" N","130° 34' 52"" W"
lawyer-island,"54° 07' 60"" N","130° 01' 60"" W"
lawyer-islands,"54° 07' 60"" N","130° 19' 60"" W"
leroy-bay,"51° 16' 00"" N","127° 40' 60"" W"
little-river,"49° 43' 60"" N","124° 55' 00"" W"
lowe-inlet,"53° 32' 60"" N","129° 34' 60"" W"
lund,"49° 58' 60"" N","124° 46' 00"" W"
makwaziniht-island,"50° 32' 60"" N","127° 32' 60"" W"
malibu-inner,"50° 01' 00"" N","123° 50' 60"" W"
malibu-outer,"50° 01' 00"" N","123° 50' 60"" W"
maple-bay,"48° 49' 00"" N","123° 37' 00"" W"
masset,"54° 01' 00"" N","132° 09' 00"" W"
mckenney-islands,"52° 38' 60"" N","129° 28' 60"" W"
mcpherson-point,"54° 13' 60"" N","132° 58' 00"" W"
mereworth-sound,"51° 01' 00"" N","127° 25' 00"" W"
mermaid-bay,"50° 23' 60"" N","125° 10' 60"" W"
meyers-narrows,"52° 36' 00"" N","128° 37' 00"" W"
middle-arm,"49° 10' 60"" N","123° 10' 00"" W"
mill-bay,"54° 58' 36"" N","129° 53' 13"" W"
milne-island,"52° 37' 00"" N","128° 46' 00"" W"
miners-bay,"48° 51' 00"" N","123° 17' 60"" W"
mitlenatch-island,"49° 57' 00"" N","125° 00' 00"" W"
moffatt-islands,"54° 27' 00"" N","130° 43' 60"" W"
montague-harbour,"48° 52' 60"" N","123° 22' 60"" W"
morse-basin,"54° 15' 00"" N","130° 13' 60"" W"
mutine-point,"48° 55' 60"" N","125° 01' 00"" W"
namu,"51° 52' 00"" N","127° 52' 00"" W"
nanaimo,"49° 10' 00"" N","123° 55' 60"" W"
nanoose-bay,"49° 16' 00"" N","124° 07' 60"" W"
narvaez-bay,"48° 46' 00"" N","123° 05' 60"" W"
new-westminster,"49° 10' 60"" N","122° 54' 00"" W"
north-arm,"49° 13' 60"" N","123° 15' 00"" W"
north-galiano,"49° 00' 00"" N","123° 34' 60"" W"
northwest-bay,"49° 17' 60"" N","124° 12' 00"" W"
nugent-sound,"52° 04' 60"" N","127° 15' 00"" W"
nymphe-cove,"50° 07' 60"" N","125° 22' 00"" W"
oak-bay,"48° 25' 60"" N","123° 17' 60"" W"
ocean-falls,"52° 21' 00"" N","127° 40' 60"" W"
octopus-islands,"50° 16' 60"" N","125° 13' 00"" W"
okeover-inlet,"49° 58' 60"" N","124° 42' 00"" W"
owen-bay,"50° 19' 00"" N","125° 13' 00"" W"
pacofi-bay,"52° 49' 60"" N","131° 52' 60"" W"
patricia-bay,"48° 38' 60"" N","123° 27' 00"" W"
pedder-bay,"48° 19' 60"" N","123° 32' 60"" W"
pender-harbour,"49° 37' 60"" N","124° 01' 60"" W"
pocahontas-point,"48° 58' 60"" N","124° 55' 00"" W"
point-atkinson,"49° 19' 60"" N","123° 15' 00"" W"
point-grey,"49° 15' 00"" N","123° 16' 00"" W"
point-no-point,"48° 23' 60"" N","123° 58' 00"" W"
porlier-pass,"49° 01' 00"" N","123° 34' 60"" W"
porpoise-bay,"49° 28' 60"" N","123° 45' 00"" W"
port-alberni,"49° 13' 60"" N","124° 49' 00"" W"
port-alice,"50° 22' 60"" N","127° 27' 00"" W"
port-blackney,"52° 19' 00"" N","128° 20' 60"" W"
port-clements,"53° 40' 60"" N","132° 10' 00"" W"
port-edward,"54° 13' 60"" N","130° 18' 00"" W"
port-essington,"54° 10' 00"" N","129° 58' 00"" W"
port-hardy,"50° 43' 00"" N","127° 28' 60"" W"
port-harvey,"50° 34' 00"" N","126° 16' 00"" W"
port-louis,"53° 40' 60"" N","132° 58' 00"" W"
port-mcneill,"50° 36' 00"" N","127° 04' 60"" W"
port-moody,"49° 16' 60"" N","122° 52' 00"" W"
port-neville,"50° 30' 00"" N","126° 04' 60"" W"
port-renfrew,"48° 32' 60"" N","124° 25' 00"" W"
port-simpson,"54° 34' 00"" N","130° 25' 60"" W"
portage-inlet,"48° 27' 00"" N","123° 25' 00"" W"
powell-river-strait-of-georgia,"49° 52' 00"" N","124° 32' 60"" W"
preedy-harbour,"48° 58' 60"" N","123° 40' 00"" W"
prideaux-haven,"50° 08' 60"" N","124° 40' 00"" W"
prince-rupert,"54° 19' 00"" N","130° 19' 60"" W"
qlawdzeet-anchorage,"54° 13' 00"" N","130° 46' 00"" W"
quathiaski-cove,"50° 02' 60"" N","125° 13' 00"" W"
quatsino-village,"50° 31' 60"" N","127° 37' 60"" W"
queen-charlotte,"53° 15' 00"" N","132° 04' 00"" W"
ranger-inlet,"54° 49' 60"" N","130° 10' 00"" W"
raynor-group,"50° 52' 60"" N","127° 13' 60"" W"
redonda-bay,"50° 16' 00"" N","124° 58' 60"" W"
refuge-bay,"54° 02' 60"" N","130° 31' 60"" W"
riley-cove,"49° 22' 60"" N","126° 13' 00"" W"
roberts-creek,"49° 25' 00"" N","123° 37' 60"" W"
rose-harbour,"52° 08' 60"" N","131° 04' 60"" W"
saanichton-bay,"48° 36' 00"" N","123° 22' 60"" W"
saavedra-islands,"49° 37' 00"" N","126° 37' 00"" W"
salmon-cove,"55° 16' 00"" N","129° 50' 60"" W"
saltery-bay,"49° 46' 60"" N","124° 10' 60"" W"
samuel-island-north-shore,"48° 49' 00"" N","123° 12' 00"" W"
samuel-island-south-shore,"48° 47' 60"" N","123° 12' 00"" W"
sand-heads,"49° 06' 00"" N","123° 17' 60"" W"
sand-heads-station-harry,"49° 07' 60"" N","123° 16' 60"" W"
seabreeze-point,"53° 58' 60"" N","130° 10' 60"" W"
seal-cove,"54° 19' 60"" N","130° 16' 60"" W"
section-cove,"52° 25' 60"" N","131° 22' 60"" W"
sedgwick-bay,"52° 37' 60"" N","131° 34' 00"" W"
seymour-narrows,"50° 07' 60"" N","125° 20' 60"" W"
shields-bay,"53° 19' 00"" N","132° 25' 00"" W"
shingle-bay,"53° 15' 00"" N","131° 49' 00"" W"
shoal-bay,"50° 28' 00"" N","125° 22' 00"" W"
shushartie-bay,"50° 51' 00"" N","127° 50' 60"" W"
sidney,"48° 38' 60"" N","123° 24' 00"" W"
sidney-bay,"50° 31' 00"" N","125° 34' 60"" W"
silva-bay,"49° 08' 60"" N","123° 42' 00"" W"
skerry-bay,"49° 02' 60"" N","124° 13' 60"" W"
smithers-island,"52° 45' 00"" N","129° 04' 00"" W"
solide-passage,"54° 10' 60"" N","132° 58' 60"" W"
sooke,"48° 22' 00"" N","123° 43' 60"" W"
sooke-basin,"48° 22' 60"" N","123° 40' 60"" W"
sproat-narrows,"49° 06' 00"" N","124° 49' 60"" W"
squamish,"49° 42' 00"" N","123° 09' 00"" W"
squitty-bay,"49° 27' 00"" N","124° 01' 00"" W"
stamp-narrows,"49° 10' 60"" N","124° 49' 00"" W"
stanovan,"49° 16' 60"" N","123° 00' 00"" W"
steveston,"49° 07' 00"" N","123° 12' 00"" W"
stopper-islands,"49° 00' 00"" N","125° 20' 60"" W"
storm-bay,"49° 40' 00"" N","123° 45' 00"" W"
stuart-narrows,"50° 53' 60"" N","126° 54' 00"" W"
sullivan-bay,"50° 52' 60"" N","126° 04' 60"" W"
sunday-harbour,"50° 43' 00"" N","126° 42' 00"" W"
surf-inlet,"53° 01' 60"" N","128° 54' 00"" W"
surge-narrows,"50° 13' 00"" N","125° 07' 00"" W"
swartz-bay,"48° 40' 60"" N","123° 24' 00"" W"
tasu-sound,"52° 45' 00"" N","132° 01' 60"" W"
telegraph-harbour,"48° 58' 00"" N","123° 40' 00"" W"
texada-mines,"49° 42' 00"" N","124° 32' 60"" W"
tod-inlet,"48° 34' 00"" N","123° 28' 00"" W"
tofino,"49° 08' 60"" N","125° 55' 00"" W"
tom-bay,"52° 23' 60"" N","128° 16' 00"" W"
trail-bay,"54° 34' 60"" N","130° 20' 60"" W"
treadwell-bay,"51° 06' 00"" N","127° 31' 60"" W"
trounce-inlet,"53° 08' 60"" N","132° 19' 00"" W"
troup-passage,"52° 15' 00"" N","128° 01' 60"" W"
tsawwassen,"49° 00' 00"" N","123° 07' 60"" W"
tumbo-channel,"48° 46' 60"" N","123° 05' 60"" W"
twin-islands,"50° 01' 60"" N","124° 55' 60"" W"
uchucklesit-inlet,"49° 00' 00"" N","125° 00' 00"" W"
ucluelet,"48° 57' 00"" N","125° 32' 60"" W"
union-seamount,"49° 34' 60"" N","132° 46' 60"" W"
valdes-island,"49° 02' 60"" N","123° 37' 00"" W"
vancouver,"49° 16' 60"" N","123° 07' 00"" W"
victoria,"48° 25' 00"" N","123° 22' 00"" W"
village-bay,"48° 51' 00"" N","123° 19' 00"" W"
waddington-harbour,"50° 55' 60"" N","124° 50' 60"" W"
wadhams,"51° 31' 00"" N","127° 31' 00"" W"
wainwright-basin,"54° 15' 00"" N","130° 13' 60"" W"
welcome-bay,"49° 42' 00"" N","124° 32' 60"" W"
whaler-bay,"48° 52' 60"" N","123° 19' 60"" W"
whaletown-bay,"50° 06' 00"" N","125° 02' 60"" W"
white-rock,"49° 01' 00"" N","122° 47' 60"" W"
wiah-point,"54° 07' 00"" N","132° 19' 00"" W"
william-head,"48° 19' 60"" N","123° 31' 60"" W"
winchelsea-island,"49° 17' 60"" N","124° 04' 60"" W"
winter-harbour,"50° 31' 00"" N","128° 00' 00"" W"
yorke-island,"50° 27' 00"" N","125° 58' 60"" W"
zeballos,"49° 58' 60"" N","126° 50' 60"" W"
black-joke-cove,"52° 01' 00"" N","55° 52' 00"" W"
brownell-point,"59° 25' 00"" N","63° 51' 00"" W"
cabot-point,"53° 43' 00"" N","59° 01' 60"" W"
cape-kakkiviak-williams-harbour,"60° 00' 00"" N","64° 16' 00"" W"
caravalla-cove,"54° 02' 60"" N","58° 34' 60"" W"
castle-island,"51° 58' 00"" N","55° 51' 00"" W"
davis-inlet,"55° 52' 60"" N","60° 53' 60"" W"
denbigh-island,"52° 31' 60"" N","55° 49' 60"" W"
emily-harbour,"54° 31' 60"" N","57° 10' 60"" W"
ford-harbour,"56° 27' 00"" N","61° 12' 00"" W"
henley-harbour,"51° 58' 60"" N","55° 51' 00"" W"
house-harbour,"56° 13' 60"" N","61° 02' 60"" W"
jordans-point,"54° 13' 00"" N","58° 13' 60"" W"
makkovik,"55° 04' 60"" N","59° 10' 00"" W"
makkovik-bank-north,"55° 43' 00"" N","58° 12' 00"" W"
neville-island,"52° 32' 60"" N","56° 07' 00"" W"
northwest-river,"53° 31' 00"" N","60° 08' 60"" W"
paradise-river,"53° 25' 60"" N","57° 16' 60"" W"
port-hope-simpson,"52° 32' 60"" N","56° 17' 60"" W"
postville,"54° 53' 60"" N","59° 46' 60"" W"
punchbowl,"53° 15' 00"" N","55° 46' 00"" W"
sandwich-bay-east-arm,"53° 34' 00"" N","57° 10' 00"" W"
shoal-tickle,"55° 46' 00"" N","60° 22' 00"" W"
smokey,"54° 28' 00"" N","57° 15' 00"" W"
terrington-basin,"53° 21' 00"" N","60° 23' 60"" W"
turnavik-island,"55° 17' 60"" N","59° 21' 00"" W"
west-st-modeste-strait-of-bell-isle,"51° 34' 60"" N","56° 42' 00"" W"
white-bear-arm,"52° 43' 60"" N","55° 49' 60"" W"
fort-churchill,"58° 46' 00"" N","94° 04' 00"" W"
hudson-bay,"57° 02' 60"" N","86° 00' 00"" W"
port-nelson,"57° 00' 00"" N","92° 02' 60"" W"
bay-du-vin,"47° 02' 60"" N","65° 01' 00"" W"
beaver-harbour,"45° 04' 00"" N","66° 43' 60"" W"
belledune,"47° 53' 60"" N","65° 50' 60"" W"
belliveau-village,"45° 55' 60"" N","64° 37' 00"" W"
blacks-harbour,"45° 02' 60"" N","66° 47' 60"" W"
burnt-church,"47° 12' 00"" N","65° 07' 60"" W"
caissie-point,"46° 01' 60"" N","64° 31' 00"" W"
cambridge-narrows,"45° 49' 60"" N","65° 57' 00"" W"
chatham,"47° 01' 60"" N","65° 28' 00"" W"
cocagne-harbour,"46° 01' 60"" N","64° 37' 00"" W"
cormoran,"47° 07' 00"" N","65° 09' 00"" W"
dipper-harbour-west,"45° 06' 00"" N","66° 25' 00"" W"
dover,"45° 58' 60"" N","64° 40' 60"" W"
east-quoddy-head,"44° 58' 00"" N","66° 54' 00"" W"
evandale,"45° 34' 60"" N","66° 01' 60"" W"
fairhaven,"44° 58' 00"" N","67° 01' 00"" W"
fox-island-miramich,"47° 07' 00"" N","65° 02' 60"" W"
fredericton,"45° 58' 00"" N","66° 39' 00"" W"
gordon-point,"47° 04' 60"" N","65° 24' 00"" W"
hatfield-point,"45° 38' 60"" N","65° 52' 00"" W"
loggieville,"47° 04' 00"" N","65° 22' 60"" W"
long-island,"45° 08' 60"" N","66° 58' 00"" W"
lorneville,"45° 12' 00"" N","66° 09' 00"" W"
lower-escuminac,"47° 04' 00"" N","64° 52' 60"" W"
lower-neguac,"47° 16' 00"" N","65° 04' 00"" W"
matthews-cove,"45° 02' 60"" N","66° 52' 00"" W"
mc-donald-point,"45° 43' 00"" N","66° 02' 60"" W"
mcmaster-island,"45° 02' 60"" N","66° 55' 60"" W"
musquash-harbour,"45° 08' 60"" N","66° 15' 00"" W"
neguac,"47° 15' 00"" N","65° 04' 60"" W"
newcastle-creek,"46° 04' 00"" N","66° 00' 00"" W"
oak-point,"47° 07' 00"" N","65° 16' 00"" W"
partridge-island,"45° 13' 60"" N","66° 02' 60"" W"
point-sapin,"46° 58' 60"" N","64° 49' 00"" W"
port-elgin,"46° 02' 60"" N","64° 04' 00"" W"
portage-island,"47° 01' 00"" N","65° 02' 60"" W"
richibucto,"46° 40' 60"" N","64° 52' 00"" W"
richibucto-bar,"46° 43' 00"" N","64° 46' 60"" W"
richibucto-cape,"46° 04' 00"" N","64° 42' 00"" W"
robichaud-spit,"47° 07' 00"" N","65° 15' 00"" W"
rothesay,"45° 23' 60"" N","66° 00' 00"" W"
saint-john,"45° 16' 00"" N","66° 04' 00"" W"
shediac-bay,"46° 15' 00"" N","64° 31' 60"" W"
shippegan,"47° 45' 00"" N","64° 42' 00"" W"
shippegan-gully,"47° 43' 00"" N","64° 40' 00"" W"
st-thomas-de-kent,"46° 27' 00"" N","64° 37' 60"" W"
st-martins,"45° 21' 00"" N","65° 31' 60"" W"
st-stephen,"45° 12' 00"" N","67° 16' 60"" W"
stonehaven,"47° 45' 00"" N","65° 20' 60"" W"
upper-gagetown,"45° 51' 00"" N","66° 13' 60"" W"
argentia,"47° 17' 60"" N","53° 58' 60"" W"
arnolds-cove,"47° 45' 00"" N","54° 00' 00"" W"
avalon-channel,"47° 23' 60"" N","51° 47' 60"" W"
baie-verte,"49° 57' 00"" N","56° 10' 60"" W"
beachside,"49° 37' 60"" N","55° 52' 60"" W"
bell-island,"47° 37' 60"" N","52° 55' 60"" W"
botwood,"49° 07' 60"" N","55° 19' 60"" W"
carmanville,"49° 23' 60"" N","54° 16' 60"" W"
change-island,"49° 40' 00"" N","54° 25' 00"" W"
charlottetown,"48° 25' 60"" N","54° 01' 00"" W"
clarenville,"48° 10' 00"" N","53° 58' 00"" W"
clifton,"48° 10' 60"" N","53° 43' 60"" W"
come-by-chance,"47° 49' 00"" N","54° 01' 00"" W"
cooks-harbour,"51° 37' 00"" N","55° 52' 00"" W"
corner-brook,"48° 57' 00"" N","57° 57' 00"" W"
couteau-bay,"47° 43' 00"" N","58° 02' 60"" W"
dark-cove-dildo-run,"49° 31' 60"" N","54° 45' 00"" W"
dildo-run-tea-kettle-island,"49° 28' 60"" N","54° 43' 60"" W"
exploits-upper-harbour,"49° 31' 00"" N","55° 04' 00"" W"
farewell,"49° 32' 60"" N","54° 28' 00"" W"
fermeuse,"46° 58' 00"" N","52° 58' 00"" W"
flowers-cove,"51° 17' 60"" N","56° 43' 60"" W"
fox-island,"48° 43' 60"" N","58° 42' 00"" W"
grand-bay,"47° 36' 00"" N","59° 10' 00"" W"
gull-island,"47° 16' 00"" N","52° 46' 60"" W"
hampden,"49° 34' 00"" N","56° 52' 00"" W"
harbour-breton,"47° 28' 00"" N","55° 47' 60"" W"
hearts-content,"47° 52' 00"" N","53° 22' 00"" W"
hermitage,"47° 34' 00"" N","55° 55' 60"" W"
hickmans-harbour,"48° 06' 00"" N","53° 43' 60"" W"
holyrood,"47° 21' 00"" N","53° 07' 00"" W"
isle-aux-morts,"47° 34' 00"" N","58° 58' 00"" W"
jackos-point,"59° 27' 00"" N","55° 07' 00"" W"
jamestown,"48° 25' 60"" N","53° 47' 60"" W"
la-scie,"49° 58' 00"" N","55° 36' 00"" W"
lance-cove,"47° 04' 60"" N","52° 01' 60"" W"
lark-harbour,"49° 06' 00"" N","58° 22' 00"" W"
lewisporte,"49° 13' 60"" N","55° 02' 60"" W"
little-bay-arm,"49° 36' 00"" N","55° 55' 00"" W"
locks-cove,"51° 19' 60"" N","55° 57' 00"" W"
long-beach,"47° 58' 60"" N","53° 47' 60"" W"
long-harbour,"47° 25' 60"" N","54° 49' 00"" W"
long-pond,"47° 31' 00"" N","52° 58' 00"" W"
middle-cove,"47° 40' 00"" N","52° 42' 00"" W"
musgrave-harbour,"49° 27' 00"" N","53° 58' 00"" W"
newman-sound,"48° 34' 60"" N","53° 57' 00"" W"
north-harbour,"47° 51' 00"" N","54° 06' 00"" W"
port-de-st-pierre,"46° 49' 00"" N","56° 10' 60"" W"
port-harmon,"48° 31' 00"" N","58° 31' 60"" W"
portugal-cove,"47° 37' 00"" N","52° 52' 00"" W"
pushthrough,"47° 37' 60"" N","56° 10' 00"" W"
savage-cove,"51° 19' 60"" N","56° 42' 00"" W"
seal-cove,"49° 55' 60"" N","56° 22' 00"" W"
ship-cove,"51° 37' 60"" N","55° 37' 60"" W"
shoal-cove,"51° 01' 00"" N","57° 01' 00"" W"
springdale,"49° 28' 60"" N","56° 02' 60"" W"
st-albans,"47° 52' 00"" N","55° 49' 60"" W"
st-anthony,"51° 22' 00"" N","55° 34' 60"" W"
st-brides,"46° 55' 00"" N","54° 10' 60"" W"
st-georges,"48° 25' 60"" N","58° 02' 60"" W"
summerford,"49° 28' 60"" N","54° 46' 60"" W"
tacks-beach,"47° 34' 60"" N","54° 12' 00"" W"
tilt-cove,"49° 52' 60"" N","55° 37' 00"" W"
tilting-harbour,"49° 42' 00"" N","54° 02' 60"" W"
trinity,"48° 22' 00"" N","53° 21' 00"" W"
twillingate,"49° 38' 60"" N","54° 46' 00"" W"
abott-harbour,"43° 40' 00"" N","65° 49' 00"" W"
abram-river,"43° 49' 60"" N","65° 57' 00"" W"
advocate,"45° 19' 60"" N","64° 46' 60"" W"
arisaig,"45° 46' 00"" N","62° 01' 00"" W"
ballantyne-cove,"45° 52' 00"" N","61° 55' 00"" W"
banquereau-bank,"44° 34' 60"" N","57° 40' 60"" W"
baxters-harbour,"45° 13' 60"" N","64° 31' 00"" W"
bay-st-lawrence,"47° 01' 00"" N","60° 27' 00"" W"
bedford-institute,"44° 40' 60"" N","63° 37' 00"" W"
belle-cote-breakwater,"46° 25' 60"" N","61° 04' 60"" W"
big-bras-dor,"46° 16' 60"" N","60° 25' 60"" W"
black-rock-point,"46° 17' 60"" N","60° 23' 60"" W"
blandford,"44° 30' 00"" N","64° 04' 60"" W"
boutilier-point,"44° 38' 60"" N","63° 57' 00"" W"
broad-cove-marsh,"46° 17' 60"" N","61° 16' 00"" W"
bunker-island-light,"43° 49' 00"" N","66° 09' 00"" W"
bunker-island-wharf,"43° 49' 00"" N","66° 07' 60"" W"
burntcoat-head,"45° 17' 60"" N","63° 47' 60"" W"
cabot-strait,"46° 34' 60"" N","59° 45' 00"" W"
cannes,"45° 37' 60"" N","60° 58' 00"" W"
cap-aux-meules,"47° 22' 60"" N","61° 52' 00"" W"
cape-blomidon,"45° 16' 00"" N","64° 20' 60"" W"
