Seq,station,lat,lon,country,gloss_number,distance
36,扎鲁比诺港,42°38′N,131°05′E,俄罗斯,,23.31070058792732 km
37,瓜亚基尔港,02°17′S,079°54′W,厄瓜多尔,,109.66765615824289 km
38,阿萨布港,13°00′.2N,042°45′.0E,厄立特里亚,2,160.87064069392721 km
39,马萨瓦港,15°36′.7N,039°28′.6E,厄立特里亚,,395.9598677937092 km
40,土伦港,43°06′N,005°53′E,法国,,3.106136706479471 km
41,马赛,43°18′N,005°22′E,法国,205,1.2357050069310178 km
42,布雷斯特,48°23′N,004°29′W,法国,242,1.2345141242588373 km
43,帕皮提港,17°32′S,149°35′W,法属波利尼西亚,140,1.4630204971204235 km
44,达沃港,07°04′N,125°38′E,菲律宾,71,1.5198370625153792 km
45,马尼拉港,14°35′N,120°58′E,菲律宾,73,0.0008105467686898198 km
46,三宝颜,N6.55,E122.05,菲律宾,,38.76943468954124 km
47,宿务港,10°18′N,123°53′E,菲律宾,,4.016371450809962 km
48,伊洛伊洛港,10°42′N,122°35′E,菲律宾,,1.4586174142905843 km
49,苏瓦港,18°08′.1S,178°25′.5E,斐济,122,0.5104398810099361 km
50,明德卢港,16°53′N,025°00′W,佛得角,,0.7377872397140341 km
51,卡塔赫纳港,10°25′N,075°32′W,哥伦比亚,207,2.594057608615263 km
52,卡尔德拉港,09°55′N,083°43′W,哥斯达黎加,167,75.53019029925561 km
53,利蒙港,10°00′N,083°01′W,哥斯达黎加,,1.1648927792103614 km
54,哈瓦那港,23°09′N,082°21′W,古巴,215,13.169882911525805 km
55,仁川港,37°28′N,126°37′E,韩国,,2.9980102060521725 km
56,镇海港,35°07′N,128°42′E,韩国,,5.868740942988612 km
57,吉布提港,11°36′N,043°08′E,吉布提,2,1.817676674238838 km
58,哈利法克斯港,44°39′N,063°34′W,加拿大,222,2.274686003057579 km
59,西哈努克港,10°38′N,103°29′E,柬埔寨,,393.97634559732535 km
60,杜阿拉港,04°03′N,009°42′E,喀麦隆,350,63.450620941448314 km
61,多哈港,25°18′.0N,051°33′.2E,卡塔尔,,3.021107673401812 km
62,乌姆赛义德港,24°56′.9N,051°35′.3E,卡塔尔,,1.876644874465663 km
63,阿比让港,05°16′N,004°01′W,科特迪瓦,257,2.6096707127147707 km
64,艾哈迈迪港,29°04′.1N,048°09′.7E,科威特,,104.05356129085497 km
65,蒙巴萨港,04°04′S,039°40′E,肯尼亚,8,1.8429974757300973 km
66,康斯坦察港,44°10′N,028°39′E,罗马尼亚,,4.067317726337937 km
67,图阿马西纳港,18°08′S,049°22′E,马达加斯加,,7.322903369580864 km
68,马累港,04°10′.5N,073°30′.4E,马尔代夫,28,0.0007372377782942828 km
69,瓦莱塔港,35°54′N,014°31′E,马耳他,,3.273944796844334 km
70,巴生港,03°01′.8N,101°21′.6E,马来西亚,,4.304529850119255 km
71,哥打基纳巴卢港,05°59′N,116°05′E,马来西亚,,1.5215557961259882 km
72,卢穆特港,04°15′.3N,100°39′.7E,马来西亚,43,3.9979335091910637 km
73,马六甲港,02°12′.8N,102°09′.3E,马来西亚,,2.211518539541969 km
74,槟城港,05°25′N,100°21′E,马来西亚,,0.36861388589459265 km
75,路易港,20°08′.9S,057°29′.2E,毛里求斯,18,2.537890759806801 km
76,火奴鲁鲁港,21°19′N,157°52′W,美国,108,0.8151411137258479 km
77,诺福克港,36°51′N,076°19′W,美国,,7.909255555152004 km
78,圣迭戈港,32°42′N,117°10′W,美国,,1.152191406881958 km
79,珍珠港,21°19′N,157°58′W,美国,108,10.056476814886423 km
80,吉大港,22°19′N,091°48′E,孟加拉,36,3.4253379014898644 km
81,卡亚俄港,12°03′S,077°10′W,秘鲁,173,1.8147093435976798 km
82,皎漂,19°27′N,093°33′E,缅甸,37,103.16613905242296 km
83,仰光港,16°47′N,096°15′E,缅甸,,8.655591518411011 km
84,卡萨布兰卡港,33°36′N,007°36′W,摩洛哥,,0.0 km
85,蒙特卡洛港,43°44′N,007°26′E,摩纳哥,,1.136274869584981 km
86,阿卡普尔科港,16°50′N,099°54′W,墨西哥,267,1.775614581945838 km
87,德班港,29°52′S,031°02′E,南非,13,1.5126788664550013 km
88,开普敦港,33°56′S,018°26′E,南非,,3.7101894887562556 km
89,拉各斯港,06°26′S,003°24′E,尼日利亚,,792.8343415812379 km
90,里斯本港,38°42′N,009°11′W,葡萄牙,,4.6395209118704885 km
91,广岛港,34°20′N,132°25′E,日本,,4.395016159081174 km
92,吴港,34°14′N,132°32′E,日本,,14.596869175429848 km
93,达喀尔港,14°41′N,017°26′W,塞内加尔,253,1.4827091274024882 km
94,利马索尔港,34°39′N,033°01′E,塞浦路斯,,30.928034454541216 km
95,拉纳卡,34°56′N,033°39′E,塞浦路斯,,1.7386317955487745 km
96,维多利亚港,04°37′S,055°28′E,塞舌尔,,0.5221798302508296 km
97,达曼港,26°30′.7N,050°12′.2E,沙特阿拉伯,,16.88613247525043 km
98,吉达港,21°28′N,039°10′E,沙特阿拉伯,,294.77399088912847 km
99,吉赞港,16°53′.4N,042°32′.1E,沙特阿拉伯,3,523.3351784146113 km
100,延布工业港,23°57′.2N,038°13′.0E,沙特阿拉伯,,491.5953827511005 km
101,延布商业港,24°04′.8N,038°04′.1E,沙特阿拉伯,,500.91066668199915 km
102,朱拜勒港,27°01′.5N,049°41′.1E,沙特阿拉伯,,26.963572022730652 km
103,汉班托特港,06°07′N,081°07′E,斯里兰卡,,1.521199826375492 km
104,加勒港,06°02′N,080°14′E,斯里兰卡,,99.72096058681855 km
105,科伦坡港,06°56′N,079°50′E,斯里兰卡,33,1.8418476277201172 km
106,亭可马里港,08°33′N,081°12′E,斯里兰卡,,1.1059885125140716 km
107,萨瓦金港,19°07′.0N,037°20′.6E,苏丹,,61.08416516085218 km
108,苏丹港,19°37′N,037°14′E,苏丹,,11.979235729924943 km
109,柏培拉港,10°26′N,045°01′E,索马里,2,239.53745205076004 km
110,霍比奥港,05°20′.7N,048°32′.5E,索马里,7,510.7271547155598 km
111,基斯马尤港,0°22′S,042°34′E,索马里,,280.5261038401939 km
112,摩加迪沙港,02°02′N,045°20′E,索马里,7,1.520264016319903 km
113,曼谷,13°44′N,100°30′E,泰国,,22.053042139011904 km
114,普吉港,07°49′.2N,098°24′.3E,泰国,42,2.236423843950068 km
115,宋卡,07°12′N,100°35′E,泰国,,124.5939093035902 km
116,梭桃邑,12°36′N,100°56′E,泰国,,62.077157824244 km
117,达累斯萨拉姆港,06°50′S,039°17′E,坦桑尼亚,,1.519869549438214 km
118,努库阿洛法港,21°08′S,175°11′W,汤加,125,0.8153020112358342 km
119,西班牙港,10°39′N,061°32′W,特立尼达和多巴哥,203,1.4588591034507887 km
120,突尼斯港,36°49′N,010°18′E,突尼斯,,146.3218651289095 km
121,伊斯坦布尔港,41°01′N,028°59′E,土耳其,,8.154800629967962 km
122,维拉港,17°45′S,168°18′E,瓦鲁阿图,348,1.532846786620138 km
123,穆阿拉港,05°01′N,115°04′E,文莱,,32.847803835039464 km
124,斯里巴加湾港,04°54′N,114°56′E,文莱,,52.25882551157387 km
125,加的斯港,36°32′.2N,006°17′.4W,西班牙,,8.330569584352432 km
126,比雷埃夫斯港,37°57′N,023°38′E,希腊,,2.510317474227404 km
127,伊拉克利翁港,35°21′N,025°09′E,希腊,,0.0 km
128,新加坡港,01°16′N,103°50′E,新加坡,44,1.9959947216828422 km
129,樟宜港,01°19′N,104°01′E,新加坡,,3.0579317605407574 km
130,奥克兰港,36°51′S,174°46′E,新西兰,,8.957248785168149 km
131,拉塔基亚港,35°31′N,035°46′E,叙利亚,,126.49606949311791 km
132,金斯敦港,17°58′N,076°48′W,牙买加,210,6.455176944578135 km
133,荷台达港,14°50′.1N,042°56′.2E,也门,3,315.5826234521772 km
134,穆卡拉港,14°31′N,049°09′E,也门,3,489.8842573803622 km
135,亚丁港,12°47′.8N,045°00′.5E,也门,3,1.8099968666663884 km
136,乌姆盖斯尔港,30°01′.4N,047°57′.1E,伊拉克,,53.32247619722905 km
137,阿巴斯港,27°08′.8N,056°12′.2E,伊朗,,13.408533604354599 km
138,布什尔港,28°59′.5N,050°50′.1E,伊朗,,12.301011534539388 km
139,伦格港,26°33′N,054°53′E,伊朗,,132.7742782350755 km
140,恰赫巴哈尔港,25°17′.4N,060°36′.6E,伊朗,337,1.84628782867835 km
141,埃拉特港,29°31′.9N,034°56′.5E,以色列,,2.2548113651077424 km
142,海法港,32°49′N,035°00′E,以色列,,0.36967039552216563 km
143,卡利亚里港,39°13′N,009°06′E,意大利,,1.1374077634593145 km
144,奇维塔韦基亚港,42°05′N,011°47′E,意大利,,0.923358231503846 km
145,塔兰托港,40°27′N,017°12′E,意大利,,3.7382918258419227 km
146,杜蒂戈林港,08°45′N,078°13′E,印度,,1.8338740900461583 km
147,根德拉港,23°01′.9N,070°13′.1E,印度,,0.5030162050208336 km
148,金奈港,13°06′N,080°18′E,印度,34,0.0 km
149,科钦港,09°57′.9N,076°16′.1E,印度,32,1.8427209173784103 km
150,孟买港,18°57′N,072°51′E,印度,,3.93259556681924 km
151,维沙卡帕特南港,17°41′N,083°18′E,印度,35,1.7685603941959254 km
152,比通港,01°26′N,125°11′E,印度尼西亚,69,1.0458646900163828 km
153,杜迈港,01°41′.2N,101°27′.3E,印度尼西亚,,79.26043451249082 km
154,棉兰港,03°47′N,098°41′E,印度尼西亚,,15.651627630187491 km
155,三宝垄港,06°55′S,110°25′E,印度尼西亚,,3.7047076768798766 km
156,沙璜港,05°53′.4N,095°18′.9E,印度尼西亚,347,6.648371835654679 km
157,泗水港,07°12′S,112°44′E,印度尼西亚,292,1.8424587572622655 km
158,勿拉湾港,03°47′.3N,098°41′.7E,印度尼西亚,,15.651627630187491 km
159,雅加达港,06°06′S,106°49′E,印度尼西亚,,8.19241737712572 km
160,亚喀巴港,29°30′.6N,034°59′.7E,约旦,,6.141197687505655 km
161,归仁港,13°46′.3N,109°14′.1E,越南,75,1.8030859095776233 km
162,海防港,20°52′N,106°41′E,越南,,26.011931180408666 km
163,胡志明市港,10°46′.0N,106°43′.0E,越南,,61.014802932832296 km
164,金兰港,11°54′N,109°09′E,越南,75,206.63377585728344 km
165,岘港,16°07′N,108°13′E,越南,,1.8784854596308385 km
166,斯里巴加湾港,04°54′N,114°56′E,文莱,,52.25882551157387 km
167,穆阿拉港,05°01′N,115°04′E,文莱,,32.847803835039464 km
168,瓦尔帕莱索港,33°02′S,071°38′W,智利,175,0.48335797248561435 km
